"TIME","GEO","NACE_R2","UNIT","AGE","Value"
"2008","BE10","TOTAL","THS","Y_GE15","398.0"
"2008","BE10","A","THS","Y_GE15",":"
"2008","BE10","B-E","THS","Y_GE15","36.3"
"2008","BE10","F","THS","Y_GE15","26.3"
"2008","BE10","G-I","THS","Y_GE15","83.7"
"2008","BE10","J","THS","Y_GE15","21.1"
"2008","BE10","K","THS","Y_GE15","21.4"
"2008","BE10","L","THS","Y_GE15","3.0"
"2008","BE10","M_N","THS","Y_GE15","50.3"
"2008","BE10","O-Q","THS","Y_GE15","109.9"
"2008","BE10","R-U","THS","Y_GE15","44.7"
"2008","BE10","NRP","THS","Y_GE15",":"
"2008","BE21","TOTAL","THS","Y_GE15","744.8"
"2008","BE21","A","THS","Y_GE15","12.0"
"2008","BE21","B-E","THS","Y_GE15","152.7"
"2008","BE21","F","THS","Y_GE15","53.1"
"2008","BE21","G-I","THS","Y_GE15","186.2"
"2008","BE21","J","THS","Y_GE15","18.7"
"2008","BE21","K","THS","Y_GE15","27.7"
"2008","BE21","L","THS","Y_GE15","3.7"
"2008","BE21","M_N","THS","Y_GE15","60.9"
"2008","BE21","O-Q","THS","Y_GE15","198.9"
"2008","BE21","R-U","THS","Y_GE15","31.0"
"2008","BE21","NRP","THS","Y_GE15",":"
"2008","BE22","TOTAL","THS","Y_GE15","363.0"
"2008","BE22","A","THS","Y_GE15","5.6"
"2008","BE22","B-E","THS","Y_GE15","81.2"
"2008","BE22","F","THS","Y_GE15","30.1"
"2008","BE22","G-I","THS","Y_GE15","78.3"
"2008","BE22","J","THS","Y_GE15","7.4"
"2008","BE22","K","THS","Y_GE15","9.8"
"2008","BE22","L","THS","Y_GE15",":"
"2008","BE22","M_N","THS","Y_GE15","20.9"
"2008","BE22","O-Q","THS","Y_GE15","111.2"
"2008","BE22","R-U","THS","Y_GE15","17.4"
"2008","BE22","NRP","THS","Y_GE15",":"
"2008","BE23","TOTAL","THS","Y_GE15","643.9"
"2008","BE23","A","THS","Y_GE15","8.6"
"2008","BE23","B-E","THS","Y_GE15","134.4"
"2008","BE23","F","THS","Y_GE15","45.7"
"2008","BE23","G-I","THS","Y_GE15","140.6"
"2008","BE23","J","THS","Y_GE15","16.5"
"2008","BE23","K","THS","Y_GE15","25.7"
"2008","BE23","L","THS","Y_GE15","2.5"
"2008","BE23","M_N","THS","Y_GE15","55.4"
"2008","BE23","O-Q","THS","Y_GE15","192.3"
"2008","BE23","R-U","THS","Y_GE15","22.2"
"2008","BE23","NRP","THS","Y_GE15",":"
"2008","BE24","TOTAL","THS","Y_GE15","475.5"
